GeneID,Gene_name,logFC,adj.P.Val
TRINITY_DN1479_c0_g1,,-1.629590999,0.000483639
TRINITY_DN1480_c6_g1,,-1.775183815,0.007727201
TRINITY_DN1480_c6_g2,Hlf,-1.900168586,0.006147344
TRINITY_DN14814_c1_g1,,-2.077807015,0.002336043
TRINITY_DN14821_c0_g1,,-2.872671349,0.004992289
TRINITY_DN14823_c0_g1,,-1.658419716,0.016133775
TRINITY_DN14868_c0_g4,PCDHB16 KIAA1621 PCDH3X,-1.050149339,0.044976006
TRINITY_DN14873_c0_g2,,-1.260334115,0.038612683
TRINITY_DN148924_c0_g1,,-2.03783821,0.041548961
TRINITY_DN148946_c0_g1,,-1.260416845,0.042292467
TRINITY_DN148984_c0_g1,,-1.139005967,0.019455788
TRINITY_DN149032_c0_g1,,-1.868091691,0.007928
TRINITY_DN149083_c0_g1,,-1.686036643,0.028507507
TRINITY_DN1491_c1_g2,,-1.00065772,0.002802362
TRINITY_DN14918_c0_g1,,-5.863967184,0.00083623
TRINITY_DN149371_c0_g1,,-1.063637578,0.034148046
TRINITY_DN149408_c0_g1,,-2.815480035,0.009726219
TRINITY_DN14943_c1_g1,,-2.840747951,0.013127866
TRINITY_DN14944_c0_g2,,-1.09964955,0.003073812
TRINITY_DN149511_c0_g1,,-1.820853048,0.008691205
TRINITY_DN149609_c0_g1,,-1.170263925,0.029417451
TRINITY_DN14967_c1_g1,Slc13a2 Nadc1 Sdct1,-1.372071091,0.015302563
TRINITY_DN14973_c1_g3,,-2.313986113,0.000880342
TRINITY_DN149734_c0_g1,HOMER1,-1.46286963,0.010306483
TRINITY_DN14994_c1_g1,,-1.200061412,0.000610191
