GeneID	Gene_me	logFC	P_Value	adj_P_Val
TRINITY_DN59851_c0_g1		-2.883828598	2.22E-05	0.001204678
TRINITY_DN25296_c3_g2		-2.882416913	1.27E-05	0.000868863
TRINITY_DN17294_c3_g1		-2.881905784	0.000652151	0.009123018
TRINITY_DN14821_c0_g1		-2.872671349	0.000249673	0.004992289
TRINITY_DN14705_c0_g1		-2.871623551	1.29E-06	0.000261235
TRINITY_DN49181_c1_g1		-2.870373186	0.000373468	0.006434404
TRINITY_DN27363_c0_g1		-2.870058816	4.18E-07	0.000151858
TRINITY_DN25081_c0_g1		-2.867579978	4.99E-06	0.000534761
TRINITY_DN46208_c7_g1		-2.864850898	1.74E-05	0.001043862
TRINITY_DN53439_c0_g1		-2.863034566	0.000938264	0.01147246
TRINITY_DN70005_c0_g1		-2.860610465	0.000786663	0.010271695
TRINITY_DN24154_c0_g1		-2.859132725	0.001052302	0.012360193
TRINITY_DN7268_c0_g1		-2.853087039	0.001473642	0.015455251
TRINITY_DN32196_c0_g1		-2.850328597	0.000368815	0.006391251
TRINITY_DN12838_c0_g1	DAN4 YJR151C J2223	-2.846900805	9.90E-06	0.000756089
TRINITY_DN17494_c0_g1	ACO1 IREB1	-2.846615486	2.99E-05	0.00142305
TRINITY_DN8414_c1_g2		-2.845436431	5.68E-05	0.002062687
TRINITY_DN12028_c0_g1		-2.842815142	8.35E-07	0.000207268
TRINITY_DN14943_c1_g1		-2.840747951	0.001151772	0.013127866
TRINITY_DN42725_c0_g1		-2.836707552	1.76E-05	0.001045034
TRINITY_DN7334_c7_g1		-2.834705081	0.006031917	0.03921032
TRINITY_DN34466_c0_g1		-2.832176932	0.001191901	0.013437552
TRINITY_DN8732_c2_g1		-2.831905193	0.005385009	0.036515078
TRINITY_DN30750_c0_g3		-2.825833915	0.001581512	0.016192212
TRINITY_DN24685_c1_g1		-2.825561296	0.00087757	0.0109913
TRINITY_DN35087_c0_g1		-2.824774618	0.002845057	0.023888578
TRINITY_DN121458_c0_g1		-2.822638377	0.000497496	0.007734068
TRINITY_DN8503_c0_g1	CCDC15	-2.821667849	0.000364271	0.006350373
TRINITY_DN114361_c0_g1		-2.820586337	0.000160078	0.003781364
TRINITY_DN149408_c0_g1		-2.815480035	0.00071685	0.009726219
TRINITY_DN162351_c0_g1		-2.812754532	0.001439381	0.015213775
